id,expression,answer_3sf,difficulty,topics
E105,8e-3*250,2,Easy,scientific
M001,sin(30),0.5,Medium,trig
M002,cos(60),0.5,Medium,trig
M003,tan(45),1,Medium,trig
M004,sin(60),0.866,Medium,trig
M005,cos(30),0.866,Medium,trig
M006,sin(45)*sqrt(2),1,Medium,trig;root
M007,sin(75),0.966,Hard,trig
M008,cos(75),0.259,Hard,trig
M009,sin(15),0.259,Hard,trig
M010,cos(15),0.966,Hard,trig
M011,tan(30),0.577,Hard,trig
M012,tan(60),1.73,Hard,trig
M013,sin(90),1,Easy,trig
M014,cos(90),0,Easy,trig
M015,sin(0),0,Easy,trig
M016,cos(0),1,Easy,trig
M017,tan(0),0,Easy,trig
M018,sin(45)+cos(45),1.41,Medium,trig
M019,sin(30)*cos(60),0.25,Medium,trig
M020,2*sin(30),1,Easy,trig
M021,log10(1000),3,Medium,log
M022,log10(100),2,Easy,log
M023,log10(10),1,Easy,log
M024,log10(1),0,Easy,log
M025,log10(250),2.4,Medium,log
M026,log10(7),0.845,Hard,log
M027,log10(5),0.699,Medium,log
M028,log10(3),0.477,Medium,log
M029,2*log10(7.5),1.75,Hard,log
M030,3*log10(2),0.903,Hard,log
M031,ln(e^2),2,Medium,log
M032,ln(e^3),3,Medium,log
M033,ln(e),1,Easy,log
M034,ln(1),0,Easy,log
M035,ln(5),1.61,Hard,log
M036,ln(10),2.3,Hard,log
M037,ln(2),0.693,Hard,log
M038,2*ln(e),2,Easy,log
M039,ln(50),3.91,Hard,log
M040,log10(2)+log10(5),1,Medium,log
M041,2*pi,6.28,Medium,pi
M042,3*pi,9.42,Medium,pi
M043,4*pi,12.6,Medium,pi
M044,5*pi,15.7,Medium,pi
M045,pi*3^2,28.3,Medium,pi
M046,pi^2,9.87,Hard,pi
M047,pi/2,1.57,Medium,pi
M048,pi/4,0.785,Medium,pi
M049,2*pi*5,31.4,Medium,pi
M050,pi*10^2,314,Easy,pi
M051,e,2.72,Medium,constant
M052,2*e,5.44,Medium,constant
M053,e^1,2.72,Medium,constant
M054,e^2,7.39,Hard,constant
M055,sqrt(pi),1.77,Hard,constant
M056,sqrt(2)*pi,4.44,Hard,constant
M057,(pi+e)^2,34.3,Hard,constant;pi
M058,pi+sqrt(2),4.56,Hard,constant;root
H001,5nCr2,10,Hard,combination
H002,6nCr2,15,Hard,combination
H003,10nCr2,45,Hard,combination
H004,10nCr3,120,Hard,combination
H005,10nCr4,210,Hard,combination
H006,8nCr3,56,Hard,combination
H007,7nCr2,21,Hard,combination
H008,5nPr2,20,Hard,permutation
H009,6nPr2,30,Hard,permutation
H010,5nPr3,60,Hard,permutation
H011,4nPr2,12,Hard,permutation
H012,10nPr3,720,Hard,permutation
H013,8nPr4,1680,Hard,permutation
H014,6nPr3,120,Hard,permutation
H015,7nPr4,840,Hard,permutation
H016,mean(2,4,6,8),5,Hard,statistics
H017,mean(3,6,9,12,15),9,Hard,statistics
H018,mean(10,20,30,40),25,Hard,statistics
H019,mean(1,2,3,4,5),3,Hard,statistics
H020,mean(5,10,15,20,25,30),17.5,Hard,statistics
H021,abs(3+4i),5,Hard,complex
H022,abs(5+12i),13,Hard,complex
H023,abs(1+i),1.41,Hard,complex
H024,abs(3-4i),5,Hard,complex
H025,abs(8-6i),10,Hard,complex
H026,arcsin(0.5),30,Hard,trig
H027,arccos(0.5),60,Hard,trig
H028,arctan(1),45,Hard,trig
H029,arcsin(1),90,Hard,trig
H030,arccos(0),90,Hard,trig
H031,arctan(0),0,Hard,trig
H032,arcsin(sqrt(3)/2),60,Hard,trig
H033,arccos(sqrt(3)/2),30,Hard,trig
H034,arctan(sqrt(3)),60,Hard,trig
H035,arctan(1/sqrt(3)),30,Hard,trig
H036,bin(13),1101,Hard,number_base
H037,bin(25),11001,Hard,number_base
H038,bin(7),111,Hard,number_base
H039,bin(15),1111,Hard,number_base
H040,bin(31),11111,Hard,number_base
H041,hex(255),FF,Hard,number_base
H042,hex(16),10,Hard,number_base
H043,hex(255),FF,Hard,number_base
H044,dec(1010),10,Hard,number_base
H045,dec(1111),15,Hard,number_base
H046,x^2=4,2,Medium,quadratic
H047,x^2=16,4,Medium,quadratic
H048,x^2=100,10,Medium,quadratic
H049,(x+2)^2=16,2,Hard,quadratic
H050,1000*1.05^3,1158,Hard,compound
H051,5000*1.03^4,5628,Hard,compound
H052,2000*1.08^2,2333,Hard,compound
H053,27^(1/3),3,Easy,root
H054,32^(2/5),4,Medium,exponent
H055,16^(3/4),8,Medium,exponent
H056,25^(1.5),125,Medium,exponent
H057,243^(1/5),3,Medium,root
H058,64^(2/3),16,Medium,exponent
